context_id,length,total_samples,eligible_sequences,terminated_before_length,canonical_sequences,noncanonical_sequences,canonical_percentage,canonical_ci95_low,canonical_ci95_high
document-038,32,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
document-038,64,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
document-038,128,16,16,0,10,6,62.5,38.64104054550271,81.51876744113636
document-038,256,16,16,0,6,10,37.5,18.481232558863635,61.358959454497274
document-038,512,16,16,0,4,12,25.0,10.182067491213049,49.49831653550877
document-038,1024,16,15,1,1,14,6.666666666666667,1.1866895493268554,29.816529873780027
document-038,2048,16,10,6,0,10,0.0,0.0,27.75327998628892
document-039,32,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
document-039,64,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
document-039,128,16,16,0,11,5,68.75,44.40435583474066,85.83535614521796
document-039,256,16,16,0,5,11,31.25,14.164643854782039,55.59564416525933
document-039,512,16,16,0,1,15,6.25,1.1119344764642518,28.328737570298944
document-039,1024,16,6,10,0,6,0.0,2.7755575615628914e-15,39.033428790216526
document-039,2048,16,4,12,0,4,0.0,0.0,48.98908364545973
document-040,32,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
document-040,64,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
document-040,128,16,16,0,12,4,75.0,50.50168346449122,89.81793250878695
document-040,256,16,16,0,7,9,43.75,23.098652405492352,66.82144360118811
document-040,512,16,15,1,1,14,6.666666666666667,1.1866895493268554,29.816529873780027
document-040,1024,16,15,1,0,15,0.0,0.0,20.388330103584863
document-040,2048,16,10,6,0,10,0.0,0.0,27.75327998628892
document-041,32,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
document-041,64,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
document-041,128,16,16,0,12,4,75.0,50.50168346449122,89.81793250878695
document-041,256,16,16,0,9,7,56.25,33.1785563988119,76.90134759450766
document-041,512,16,14,2,5,9,35.714285714285715,16.34473175355414,61.2355768960926
document-041,1024,16,13,3,2,11,15.384615384615385,4.3258178358081185,42.234631019482535
document-041,2048,16,9,7,0,9,0.0,0.0,29.914504841954408
document-042,32,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
document-042,64,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
document-042,128,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
document-042,256,16,16,0,11,5,68.75,44.40435583474066,85.83535614521796
document-042,512,16,16,0,9,7,56.25,33.1785563988119,76.90134759450766
